TaskNo,PartNo,MousePointX,MousePointY,Time
1,1,674,433,1527
1,1,674,433,1528
1,1,674,433,1529
1,1,674,433,1530
1,1,674,433,1531
1,1,674,433,1532
1,1,674,433,1533
1,1,674,433,1534
1,1,673,436,1535
1,1,673,436,1536
1,1,673,436,1537
1,1,673,436,1538
1,1,673,436,1539
1,1,673,436,1540
1,1,673,436,1541
1,1,673,436,1542
1,1,672,438,1543
1,1,672,438,1544
1,1,672,438,1545
1,1,672,438,1546
1,1,672,438,1548
1,1,672,438,1549
1,1,672,438,1550
1,1,670,441,1551
1,1,670,441,1552
1,1,670,441,1553
1,1,670,441,1554
1,1,670,441,1555
1,1,670,441,1556
1,1,670,441,1557
1,1,670,441,1558
1,1,669,444,1559
1,1,669,444,1560
1,1,669,444,1561
1,1,669,444,1562
1,1,669,444,1563
1,1,669,444,1564
1,1,669,444,1565
1,1,669,444,1566
1,1,668,448,1567
1,1,668,448,1568
1,1,668,448,1569
1,1,668,448,1570
1,1,668,448,1571
1,1,668,448,1572
1,1,668,448,1573
1,1,668,448,1574
1,1,667,451,1575
1,1,667,451,1576
1,1,667,451,1577
1,1,667,451,1578
1,1,667,451,1579
1,1,667,451,1580
1,1,667,451,1581
1,1,667,451,1582
1,1,665,456,1583
1,1,665,456,1584
1,1,665,456,1585
1,1,665,456,1586
1,1,665,456,1587
1,1,665,456,1588
1,1,665,456,1589
1,1,665,456,1590
1,1,665,459,1591
1,1,665,459,1592
1,1,665,459,1593
1,1,665,459,1594
1,1,665,459,1595
1,1,665,459,1596
1,1,665,459,1597
1,1,665,463,1598
1,1,663,463,1599
1,1,663,463,1600
1,1,663,463,1601
1,1,663,463,1602
1,1,663,463,1603
1,1,663,463,1604
1,1,663,463,1605
1,1,663,463,1606
1,1,663,466,1607
1,1,663,466,1608
1,1,663,466,1609
1,1,663,466,1610
1,1,663,466,1611
1,1,663,466,1612
1,1,663,466,1613
1,1,663,466,1614
1,1,663,470,1615
1,1,663,470,1616
1,1,663,470,1617
1,1,663,470,1618
1,1,663,470,1619
1,1,663,470,1620
1,1,663,470,1621
1,1,663,470,1622
1,1,663,473,1623
1,1,663,473,1624
1,1,663,473,1625
1,1,663,473,1626
1,1,663,473,1627
1,1,663,473,1628
1,1,663,473,1629
1,1,663,473,1630
1,1,662,477,1631
1,1,662,477,1632
1,1,662,477,1633
1,1,662,477,1634
1,1,662,477,1635
1,1,662,477,1636
1,1,662,477,1637
1,1,662,477,1638
1,1,660,480,1639
1,1,660,480,1640
1,1,660,480,1641
1,1,660,480,1642
1,1,660,480,1643
1,1,660,480,1644
1,1,660,480,1645
1,1,660,480,1646
1,1,659,483,1647
1,1,659,483,1648
1,1,659,483,1649
1,1,659,483,1650
1,1,659,483,1651
1,1,659,483,1652
1,1,659,483,1653
1,1,659,483,1654
1,1,658,488,1655
1,1,658,488,1656
1,1,658,488,1657
1,1,658,488,1658
1,1,658,488,1659
1,1,658,488,1660
1,1,658,488,1661
1,1,658,488,1662
1,1,658,492,1663
1,1,658,492,1664
1,1,658,492,1665
1,1,658,492,1666
1,1,658,492,1667
1,1,658,492,1668
1,1,658,492,1669
1,1,658,492,1670
1,1,658,496,1671
1,1,658,496,1672
1,1,658,496,1673
