TaskNo,PartNo,GazePointX,GazePointY,Time
1,1,1222,690,3499
1,1,1225,689,3503
1,1,1224,685,3506
1,1,1223,689,3509
1,1,1220,694,3513
1,1,1221,694,3516
1,1,1222,691,3519
1,1,1223,694,3523
1,1,1223,688,3526
1,1,1223,677,3529
1,1,1224,687,3533
1,1,1225,690,3536
1,1,1222,689,3539
1,1,1224,690,3543
1,1,1225,689,3546
1,1,1224,687,3549
1,1,1223,684,3553
1,1,1224,687,3556
1,1,1221,685,3559
1,1,1224,683,3563
1,1,1226,684,3566
1,1,1225,688,3569
1,1,1225,689,3573
1,1,1224,688,3576
1,1,1222,684,3579
1,1,1220,692,3583
1,1,1221,689,3586
1,1,1226,690,3589
1,1,1223,683,3593
1,1,1223,685,3596
1,1,1224,687,3599
1,1,1224,686,3603
1,1,1223,683,3606
1,1,1222,684,3609
1,1,1224,683,3613
1,1,1224,683,3616
1,1,1222,680,3619
1,1,1223,684,3623
1,1,1230,670,3626
1,1,1239,659,3629
1,1,1251,643,3633
1,1,1261,621,3636
1,1,1268,600,3639
1,1,1264,590,3643
1,1,1262,576,3646
1,1,1257,568,3649
1,1,1256,573,3653
1,1,1256,577,3656
1,1,1257,584,3659
1,1,1256,581,3663
1,1,1255,584,3666
1,1,1254,583,3669
1,1,1256,581,3673
1,1,1256,577,3676
1,1,1257,577,3679
1,1,1256,575,3683
1,1,1255,579,3686
1,1,1255,578,3689
1,1,1257,576,3693
1,1,1257,575,3696
1,1,1258,579,3699
1,1,1261,574,3703
1,1,1258,571,3706
1,1,1259,573,3709
1,1,1258,580,3713
1,1,1261,572,3716
1,1,1255,581,3719
1,1,1259,574,3723
1,1,1252,578,3726
1,1,1260,574,3729
1,1,1254,577,3733
1,1,1258,576,3736
1,1,1256,574,3739
1,1,1257,573,3743
1,1,1252,576,3746
1,1,1253,577,3749
1,1,1254,573,3753
1,1,1257,572,3756
1,1,1254,574,3759
1,1,1256,572,3763
1,1,1258,575,3766
1,1,1261,572,3769
1,1,1256,573,3773
1,1,1260,573,3776
1,1,1260,574,3779
1,1,1259,574,3783
1,1,1256,580,3786
1,1,1255,576,3789
1,1,1259,574,3793
1,1,1258,575,3796
1,1,1258,572,3799
1,1,1255,572,3803
1,1,1255,573,3806
1,1,1258,574,3809
1,1,1257,570,3813
1,1,1256,573,3816
1,1,1257,572,3819
1,1,1254,575,3823
1,1,1253,582,3826
1,1,1255,573,3829
1,1,1254,579,3833
1,1,1256,572,3836
1,1,1255,577,3839
1,1,1259,567,3843
1,1,1256,570,3846
1,1,1257,573,3849
1,1,1259,569,3853
1,1,1256,572,3856
1,1,1260,570,3859
1,1,1258,569,3863
1,1,1261,568,3866
1,1,1260,569,3869
1,1,1258,572,3873
1,1,1253,570,3876
1,1,1261,573,3879
1,1,1260,568,3883
1,1,1258,573,3886
1,1,1259,571,3889
1,1,1261,569,3893
1,1,1253,573,3896
1,1,1256,573,3899
1,1,1255,570,3903
1,1,1258,570,3906
1,1,1258,572,3909
1,1,1253,575,3913
1,1,1256,573,3916
1,1,1257,572,3919
1,1,1257,571,3923
1,1,1258,573,3926
1,1,1252,572,3929
1,1,1254,573,3932
1,1,1256,572,3936
1,1,1255,576,3939
1,1,1258,569,3943
1,1,1257,574,3946
1,1,1256,573,3949
1,1,1255,570,3953
1,1,1256,574,3956
1,1,1256,572,3959
1,1,1259,573,3963
1,1,1254,567,3966
1,1,1258,573,3969
1,1,1257,567,3973
1,1,1255,567,3976
1,1,1255,570,3979
1,1,1259,565,3983
1,1,1253,574,3986
1,1,1255,574,3989
1,1,1255,573,3993
1,1,1256,572,3996
1,1,1261,571,3999
1,1,1259,574,4002
1,1,1256,570,4006
1,1,1257,572,4009
1,1,1254,570,4013
1,1,1255,570,4016
1,1,1259,572,4019
1,1,1259,572,4023
1,1,1258,575,4026
1,1,1257,575,4029
1,1,1257,571,4032
1,1,1257,572,4036
1,1,1258,575,4039
1,1,1259,567,4043
1,1,1254,573,4046
1,1,1257,572,4049
1,1,1257,572,4053
1,1,1253,572,4056
1,1,1252,570,4059
1,1,1254,569,4062
1,1,1255,571,4066
1,1,1254,573,4069
1,1,1258,568,4073
1,1,1258,567,4076
1,1,1256,568,4079
1,1,1260,566,4083
1,1,1256,570,4086
1,1,1256,569,4089
1,1,1256,571,4092
1,1,1254,573,4096
1,1,1256,567,4099
1,1,1256,566,4102
1,1,1254,574,4106
1,1,1253,572,4109
1,1,1255,571,4113
1,1,1255,570,4116
1,1,1258,570,4119
1,1,1258,567,4123
1,1,1255,574,4126
1,1,1255,573,4129
1,1,1257,569,4132
1,1,1255,572,4136
1,1,1256,558,4139
1,1,1257,538,4143
1,1,1252,519,4146
1,1,1251,501,4149
1,1,1254,485,4153
1,1,1250,469,4156
1,1,1245,457,4159
